Time,Fp1,AF3,F7,F3,FC1,FC5,T7,C3,CP1,CP5,P7,P3,Pz,PO3,O1,Oz,O2,PO4,P4,P8,CP6,CP2,C4,T8,FC6,FC2,F4,F8,AF4,Fp2,Fz,Cz,
-0.10156,1.035442532e-12,1.572036990e-12,8.079594626e-13,1.674343349e-12,7.044997803e-13,2.970853810e-13,5.083479036e-13,1.385609547e-13,5.687281925e-13,4.478614561e-13,1.517986694e-12,2.214693902e-12,2.920396712e-12,3.383996482e-12,2.018481525e-12,1.815896752e-12,8.192058895e-13,2.091943475e-12,1.665822837e-12,5.739531997e-13,1.469576305e-13,3.718919174e-13,3.074105158e-13,1.201916986e-12,1.688087031e-12,7.580371864e-13,1.551101148e-12,1.235699938e-12,2.206840807e-12,9.987787987e-13,3.160055631e-12,2.544950336e-13
-0.09375,1.047839514e-12,1.583293134e-12,8.205736226e-13,1.688582960e-12,7.143098551e-13,3.032002426e-13,5.190832243e-13,1.411619996e-13,5.752634680e-13,4.508110910e-13,1.529837574e-12,2.245443530e-12,2.966533639e-12,3.432137884e-12,2.037903360e-12,1.836373450e-12,8.288603688e-13,2.118180487e-12,1.690388397e-12,5.758805673e-13,1.505401730e-13,3.803532047e-13,3.151726550e-13,1.226010347e-12,1.711138003e-12,7.670074264e-13,1.564493294e-12,1.253245799e-12,2.227475037e-12,1.014581835e-12,3.187333816e-12,2.586474316e-13
-0.085938,1.060335347e-12,1.594094151e-12,8.331224337e-13,1.702266636e-12,7.239804276e-13,3.096433470e-13,5.296611759e-13,1.438198101e-13,5.816033499e-13,4.535930414e-13,1.541220019e-12,2.275809661e-12,3.011934894e-12,3.480040473e-12,2.057379330e-12,1.856706355e-12,8.385242026e-13,2.143905655e-12,1.714640419e-12,5.775138409e-13,1.541076217e-13,3.889024858e-13,3.229282922e-13,1.249586971e-12,1.733878186e-12,7.757089893e-13,1.577513094e-12,1.270741507e-12,2.247612823e-12,1.030703988e-12,3.214131499e-12,2.627274395e-13
-0.078125,1.072655323e-12,1.604274809e-12,8.456321064e-13,1.715162351e-12,7.333965414e-13,3.162925717e-13,5.402285142e-13,1.465009741e-13,5.878618157e-13,4.561437522e-13,1.551770682e-12,2.305703852e-12,3.056984485e-12,3.527127425e-12,2.075877382e-12,1.876409486e-12,8.480028198e-13,2.169134466e-12,1.738729503e-12,5.787519511e-13,1.576516091e-13,3.976356165e-13,3.306799751e-13,1.272664316e-12,1.756199981e-12,7.840688191e-13,1.589931549e-12,1.288024161e-12,2.267078486e-12,1.046942102e-12,3.240986232e-12,2.668266648e-13
-0.070312,1.084702307e-12,1.613730499e-12,8.583093298e-13,1.727285443e-12,7.425906467e-13,3.230493427e-13,5.508815382e-13,1.491272546e-13,5.940229780e-13,4.584932502e-13,1.561545632e-12,2.335178381e-12,3.101421735e-12,3.573200602e-12,2.093214948e-12,1.895247976e-12,8.571058797e-13,2.193732971e-12,1.762461751e-12,5.795974886e-13,1.612693775e-13,4.064790805e-13,3.385114012e-13,1.295729642e-12,1.777785093e-12,7.920689782e-13,1.601594624e-12,1.304950509e-12,2.285715505e-12,1.063059924e-12,3.267415484e-12,2.709786485e-13
-0.0625,1.096645462e-12,1.622538980e-12,8.712948245e-13,1.738678500e-12,7.515459223e-13,3.298699545e-13,5.615044254e-13,1.517024579e-13,5.999853921e-13,4.607105246e-13,1.570788753e-12,2.364200971e-12,3.144618297e-12,3.618135980e-12,2.109652907e-12,1.913194993e-12,8.657298294e-13,2.217482475e-12,1.785537341e-12,5.801808657e-13,1.649500612e-13,4.152941436e-13,3.463732727e-13,1.318921932e-12,1.798590800e-12,7.996480840e-13,1.612442515e-12,1.321529251e-12,2.303392953e-12,1.079066619e-12,3.293381436e-12,2.751106899e-13
-0.054688,1.108417683e-12,1.630629351e-12,8.843684831e-13,1.749215449e-12,7.601918079e-13,3.367231069e-13,5.718818534e-13,1.543111542e-13,6.057298850e-13,4.627924347e-13,1.579266358e-12,2.392493834e-12,3.186471829e-12,3.661581676e-12,2.124963769e-12,1.930046516e-12,8.737472446e-13,2.240107115e-12,1.807974819e-12,5.803326329e-13,1.685092867e-13,4.241087728e-13,3.540687339e-13,1.341272708e-12,1.818629826e-12,8.067463493e-13,1.622379152e-12,1.337656062e-12,2.319991428e-12,1.094951665e-12,3.318424162e-12,2.791692188e-13
-0.046875,1.119840273e-12,1.637939253e-12,8.972440502e-13,1.758862371e-12,7.685595333e-13,3.436272621e-13,5.819237871e-13,1.569639473e-13,6.113031292e-13,4.646701490e-13,1.586745061e-12,2.419839697e-12,3.227360107e-12,3.703408904e-12,2.138932424e-12,1.945739335e-12,8.811972798e-13,2.261661902e-12,1.829927687e-12,5.800471086e-13,1.719460679e-13,4.329702839e-13,3.616311993e-13,1.362292493e-12,1.837867043e-12,8.134248802e-13,1.631493324e-12,1.353150219e-12,2.335608708e-12,1.110634642e-12,3.342287841e-12,2.831918161e-13
-0.039062,1.130911270e-12,1.644478582e-12,9.099244686e-13,1.767653049e-12,7.766459486e-13,3.505288714e-13,5.917465455e-13,1.595993940e-13,6.167145641e-13,4.663665650e-13,1.593474942e-12,2.446258997e-12,3.267412645e-12,3.743571067e-12,2.151477979e-12,1.960222598e-12,8.880996980e-13,2.282331696e-12,1.851317219e-12,5.794164401e-13,1.754378371e-13,4.418528462e-13,3.692091354e-13,1.382943885e-12,1.856366294e-12,8.196668934e-13,1.639832670e-12,1.368108362e-12,2.350317110e-12,1.126155461e-12,3.365581930e-12,2.872082930e-13
-0.03125,1.141758398e-12,1.650254445e-12,9.225973908e-13,1.775658196e-12,7.844326687e-13,3.574132346e-13,6.014981936e-13,1.622302979e-13,6.219732697e-13,4.679952411e-13,1.599774903e-12,2.472002212e-12,3.306375074e-12,3.782133197e-12,2.162668004e-12,1.973367283e-12,8.943043122e-13,2.301970620e-12,1.872060362e-12,5.781645425e-13,1.789291897e-13,4.507805425e-13,3.766822282e-13,1.403579962e-12,1.874064571e-12,8.253899952e-13,1.647262137e-12,1.382763704e-12,2.364062948e-12,1.141664655e-12,3.388111115e-12,2.912204429e-13
